Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,held_tickers
2025-06-09,1390.0314980776461,0.00023136469291135285,0.00043136469291135286,0.0002,4,7,"CDE,HOOD,NFLX,NVTS,RCAT,SMR,SOUN"
2025-06-10,1441.0230692847852,0.0366837523305466,0.0367337523305466,5e-05,1,6,"CDE,HOOD,NFLX,NVTS,SMR,SOUN"
2025-06-11,1415.557394005272,-0.017671941429884475,-0.017621941429884474,5e-05,1,7,"ACHR,CDE,HOOD,NFLX,NVTS,SMR,SOUN"
2025-06-12,1354.4866480236137,-0.043142543170828725,-0.04309254317082872,5e-05,1,8,"ACHR,CDE,CLSK,HOOD,NFLX,NVTS,SMR,SOUN"
2025-06-13,1395.015745144408,0.02992210899969511,0.03002210899969511,0.0001,2,8,"CDE,CLSK,HOOD,NFLX,NVTS,SBSW,SMR,SOUN"
2025-06-16,1346.5796702508349,-0.034720808752276136,-0.034720808752276136,0.0,0,8,"CDE,CLSK,HOOD,NFLX,NVTS,SBSW,SMR,SOUN"
2025-06-17,1361.988919195121,0.01144325084115956,0.01149325084115956,5e-05,1,9,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,SBSW,SMR,SOUN"
2025-06-18,1338.8111225137259,-0.01701761031586972,-0.01696761031586972,5e-05,1,10,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SMR,SOUN"
2025-06-20,1329.649588061973,-0.006843037302044075,-0.006843037302044075,0.0,0,10,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SMR,SOUN"
2025-06-23,1410.5245808899392,0.06082429051540213,0.06082429051540213,0.0,0,10,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SMR,SOUN"
2025-06-24,1389.4097971904293,-0.014969454616797984,-0.014969454616797984,0.0,0,10,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SMR,SOUN"
2025-06-25,1429.711693737556,0.02900648651580149,0.02905648651580149,5e-05,1,9,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SOUN"
2025-06-26,1401.2976021360632,-0.019874000979325276,-0.019824000979325275,5e-05,1,10,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SOUN,VFC"
2025-06-27,1445.1799356961735,0.03131549892986217,0.03131549892986217,0.0,0,10,"CDE,CLSK,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SOUN,VFC"
2025-06-30,1423.4339839679587,-0.015047227816472058,-0.014997227816472058,5e-05,1,11,"CDE,CLSK,EOSE,HOOD,NFLX,NVTS,RCAT,RDW,SBSW,SOUN,VFC"
2025-07-01,1484.5237630098559,0.0429171845901863,0.0430171845901863,0.0001,2,9,"CDE,CLSK,HOOD,NVTS,RCAT,RDW,SBSW,SOUN,VFC"
2025-07-02,1488.4705969157499,0.0026586532356286663,0.0027086532356286664,5e-05,1,10,"CDE,CLSK,HOOD,NVTS,RCAT,RDW,SBSW,SOUN,VFC,WULF"
2025-07-03,1480.8814839739157,-0.005098597820850048,-0.005048597820850049,5e-05,1,9,"CDE,HOOD,NVTS,RCAT,RDW,SBSW,SOUN,VFC,WULF"
2025-07-07,1492.3262156549342,0.007728323842841921,0.007828323842841921,0.0001,2,9,"CDE,EOSE,HOOD,NVTS,RCAT,RDW,SBSW,SOUN,VFC"
2025-07-08,1500.4603784460812,0.005450659986950183,0.005550659986950183,0.0001,2,9,"CDE,HOOD,NVTS,RCAT,RDW,SBSW,SOUN,UUUU,VFC"
2025-07-09,1537.110408099453,0.024425856343722692,0.024425856343722692,0.0,0,9,"CDE,HOOD,NVTS,RCAT,RDW,SBSW,SOUN,UUUU,VFC"
2025-07-10,1574.6664697436415,0.024432897888333503,0.024532897888333502,0.0001,2,11,"CDE,HOOD,NVTS,QS,RCAT,RDW,SBSW,SOUN,UUUU,VFC,WULF"
2025-07-11,1655.4199177127975,0.05128289039030772,0.05158289039030772,0.00030000000000000003,6,7,"HOOD,NVTS,QS,RCAT,SOUN,UUUU,VFC"
2025-07-14,1686.985969869323,0.019068305158571858,0.019168305158571857,0.0001,2,9,"EOSE,HOOD,NVTS,QS,RCAT,SOUN,UUUU,VFC,WULF"
2025-07-15,1762.3277521296989,0.04466058616137276,0.044860586161372756,0.0002,4,11,"CLSK,EOSE,HOOD,JOBY,LUNR,NVTS,QS,RCAT,SOUN,UUUU,VFC"
2025-07-16,1877.448797797946,0.06532328934225101,0.06542328934225101,0.0001,2,11,"CLSK,EOSE,HOOD,LUNR,NVTS,QS,RCAT,SOUN,UUUU,VFC,WULF"
2025-07-17,1918.956048466704,0.022108326318907728,0.02225832631890773,0.00015000000000000001,3,8,"CLSK,EOSE,LUNR,NVTS,SOUN,UUUU,VFC,WULF"
2025-07-18,1939.043174296306,0.010467736270276792,0.010467736270276792,0.0,0,8,"CLSK,EOSE,LUNR,NVTS,SOUN,UUUU,VFC,WULF"
2025-07-21,1981.9591120448401,0.022132533363579624,0.022232533363579624,0.0001,2,8,"CLSK,EOSE,LUNR,NVTS,QS,SOUN,UUUU,VFC"
2025-07-22,2070.6035920020113,0.044725685519170034,0.04487568551917003,0.00015000000000000001,3,9,"CLSK,EOSE,LUNR,NVTS,RCAT,SOUN,UUUU,VFC,WULF"
2025-07-23,2097.540802538072,0.01300935178520394,0.01335935178520394,0.00035,7,6,"CLSK,EQX,QS,RCAT,UUUU,WULF"
2025-07-24,2083.312923522796,-0.006783123836284825,-0.006583123836284825,0.0002,4,6,"APP,CLSK,EQX,ORCL,UUUU,WULF"
2025-07-25,2081.123490534828,-0.0010509381299597957,-0.0010009381299597958,5e-05,1,7,"APP,CLSK,EQX,ORCL,UUUU,VXX,WULF"
2025-07-28,2022.1968935482168,-0.028314800757675156,-0.028114800757675158,0.0002,4,7,"EQX,ORCL,QS,SOUN,UUUU,VXX,WULF"
2025-07-29,1970.942217258837,-0.02534603650757589,-0.02514603650757589,0.0002,4,9,"EQX,NVO,NVTS,ORCL,SOUN,UNH,UUUU,VXX,WULF"
2025-07-30,1954.7313845299125,-0.008224915264877944,-0.008124915264877944,0.0001,2,9,"EQX,NVO,NVTS,RCAT,SOUN,UNH,UUUU,VXX,WULF"
2025-07-31,1968.2174872369412,0.0068992102003172275,0.0068992102003172275,0.0,0,9,"EQX,NVO,NVTS,RCAT,SOUN,UNH,UUUU,VXX,WULF"
2025-08-01,2017.0812904054999,0.024826424663646134,0.024976424663646135,0.00015000000000000001,3,6,"EQX,NVO,SOUN,UNH,UUUU,VXX"
2025-08-04,2000.8289616923882,-0.008057349394106173,-0.008007349394106173,5e-05,1,7,"EQX,NVO,NVTS,SOUN,UNH,UUUU,VXX"
2025-08-05,1958.8665042489124,-0.020972536007266805,-0.020922536007266804,5e-05,1,8,"CLSK,EQX,NVO,NVTS,SOUN,UNH,UUUU,VXX"
2025-08-06,1984.2870043230391,0.012977147763253804,0.013027147763253803,5e-05,1,9,"CLSK,EOSE,EQX,NVO,NVTS,SOUN,UNH,UUUU,VXX"
2025-08-07,2013.7934875896904,0.014870068292725474,0.014920068292725474,5e-05,1,10,"CLSK,EOSE,EQX,LUNR,NVO,NVTS,SOUN,UNH,UUUU,VXX"
2025-08-08,2047.1818399535894,0.016579829346782444,0.016629829346782445,5e-05,1,11,"CLSK,EOSE,EQX,LUNR,NVO,NVTS,RDW,SOUN,UNH,UUUU,VXX"
2025-08-11,2084.4960601836747,0.018227115687452198,0.018327115687452197,0.0001,2,11,"CLSK,EOSE,EQX,LUNR,NVO,NVTS,RDW,UEC,UNH,UUUU,VXX"
2025-08-12,2127.4116391594175,0.02058798756950443,0.02073798756950443,0.00015000000000000001,3,12,"CLSK,EOSE,EQX,LUNR,NVO,NVTS,UEC,UNH,UUUU,VFC,VXX,WULF"
2025-08-13,2281.230223583936,0.07230316013749702,0.07260316013749701,0.00030000000000000003,6,8,"NVO,NVTS,SMR,UEC,UNH,UUUU,VXX,WULF"
2025-08-14,2318.047668717562,0.016139293944555728,0.01618929394455573,5e-05,1,9,"NVO,NVTS,RDW,SMR,UEC,UNH,UUUU,VXX,WULF"
2025-08-15,2370.734477765797,0.02272895840722001,0.022878958407220013,0.00015000000000000001,3,8,"NVO,NVTS,RCAT,RDW,UEC,UUUU,VXX,WULF"
2025-08-18,2256.411681139584,-0.04822252247073741,-0.04822252247073741,0.0,0,8,"NVO,NVTS,RCAT,RDW,UEC,UUUU,VXX,WULF"
2025-08-19,2250.0384759747753,-0.002824486869164672,-0.002824486869164672,0.0,0,8,"NVO,NVTS,RCAT,RDW,UEC,UUUU,VXX,WULF"
2025-08-20,2281.217417270762,0.013857070280755519,0.013957070280755518,0.0001,2,8,"CLSK,NVO,NVTS,RCAT,RDW,UEC,VXX,WULF"
2025-08-21,2336.2000122745408,0.024102303703063918,0.02415230370306392,5e-05,1,7,"CLSK,NVO,NVTS,RDW,UEC,VXX,WULF"
2025-08-22,2291.0544856672664,-0.019324341396317415,-0.019324341396317415,0.0,0,7,"CLSK,NVO,NVTS,RDW,UEC,VXX,WULF"
2025-08-25,2298.3160567392324,0.0031695322470043337,0.0033195322470043337,0.00015000000000000001,3,8,"ACHR,CLSK,NVO,NVTS,SOUN,UEC,VXX,WULF"
2025-08-26,2284.633473755105,-0.005953307833361892,-0.005803307833361892,0.00015000000000000001,3,5,"CLSK,NVO,UEC,VXX,WULF"
2025-08-27,2312.497558338227,0.012196304091318277,0.012296304091318277,0.0001,2,5,"CLSK,NVO,SOUN,VXX,WULF"
2025-08-28,2308.297119640353,-0.0018164078412659821,-0.0016664078412659822,0.00015000000000000001,3,6,"CLSK,NVO,QS,RCAT,VXX,WULF"
2025-08-29,2300.027207660823,-0.0035826895546350154,-0.0034826895546350156,0.0001,2,8,"CLSK,FLNC,NVO,QS,RCAT,RDW,VXX,WULF"
2025-09-02,2236.5277581584864,-0.027608129717264125,-0.027558129717264124,5e-05,1,9,"CLSK,FLNC,MP,NVO,QS,RCAT,RDW,VXX,WULF"
