Date,ticker,action,pred,score,opposite_signal,weak_long,weak_short,too_old
2026-06-09 17:30:00,CRML,BUY,0.9755458515283842,0.9755458515283842,,,,
2026-06-09 18:30:00,MRNA,BUY,0.9755458515283842,0.9755458515283842,,,,
2026-06-09 19:30:00,UAMY,BUY,0.9895196506550218,0.9895196506550218,,,,
2026-06-10 13:30:00,EOSE,EXIT,,,False,True,False,False
2026-06-10 13:30:00,CRML,EXIT,,,False,True,False,False
2026-06-10 13:30:00,UAMY,EXIT,,,False,True,False,False
2026-06-10 13:30:00,DDOG,BUY,0.9737991266375545,0.9737991266375545,,,,
2026-06-10 14:30:00,EXK,EXIT,,,False,True,False,False
2026-06-10 14:30:00,S,BUY,0.9703056768558952,0.9703056768558952,,,,
2026-06-10 14:30:00,INFY,BUY,0.9694323144104804,0.9694323144104804,,,,
2026-06-10 17:30:00,LUMN,BUY,0.9903930131004366,0.9903930131004366,,,,
2026-06-11 13:30:00,LUMN,EXIT,,,False,True,False,False
2026-06-11 14:30:00,LUMN,BUY,0.97117903930131,0.97117903930131,,,,
2026-06-11 15:30:00,MRNA,EXIT,,,False,True,False,False
2026-06-11 15:30:00,LUMN,EXIT,,,False,True,False,False
2026-06-11 15:30:00,ACHR,BUY,0.965938864628821,0.965938864628821,,,,
2026-06-11 15:30:00,NOW,BUY,0.9650655021834061,0.9650655021834061,,,,
2026-06-11 16:30:00,CHWY,BUY,0.9624454148471615,0.9624454148471615,,,,
2026-06-11 17:30:00,SBSW,EXIT,,,False,True,False,False
2026-06-11 17:30:00,ACHR,EXIT,,,False,True,False,False
2026-06-11 17:30:00,SMCI,BUY,0.9703056768558952,0.9703056768558952,,,,
2026-06-11 18:30:00,CHWY,EXIT,,,False,True,False,False
2026-06-11 18:30:00,SMCI,EXIT,,,False,True,False,False
2026-06-11 18:30:00,LUMN,BUY,0.9921397379912663,0.9921397379912663,,,,
2026-06-11 19:30:00,SBSW,BUY,0.977292576419214,0.977292576419214,,,,
2026-06-11 19:30:00,EXK,BUY,0.9676855895196507,0.9676855895196507,,,,
2026-06-12 13:30:00,PATH,EXIT,,,False,False,False,True
2026-06-12 13:30:00,EXK,EXIT,,,False,True,False,False
2026-06-12 13:30:00,CRML,BUY,0.9799126637554585,0.9799126637554585,,,,
2026-06-12 14:30:00,OSCR,BUY,0.9703056768558953,0.9703056768558953,,,,
2026-06-12 15:30:00,LUMN,EXIT,,,False,True,False,False
2026-06-12 15:30:00,PATH,BUY,0.9685589519650655,0.9685589519650655,,,,
2026-06-12 16:30:00,UAMY,BUY,0.9790393013100437,0.9790393013100437,,,,
2026-06-12 17:30:00,S,EXIT,,,False,True,False,False
2026-06-12 17:30:00,INFY,EXIT,,,False,True,False,False
2026-06-12 18:30:00,LUMN,BUY,0.9720524017467249,0.9720524017467249,,,,
2026-06-12 19:30:00,MU,BUY,0.9851528384279475,0.9851528384279475,,,,
2026-06-12 19:30:00,EXK,BUY,0.982532751091703,0.982532751091703,,,,
2026-06-15 13:30:00,SOUN,EXIT,,,False,True,False,False
2026-06-15 13:30:00,SBSW,EXIT,,,False,True,False,False
2026-06-15 13:30:00,CRML,EXIT,,,False,True,False,False
2026-06-15 13:30:00,HPE,BUY,0.9860262008733625,0.9860262008733625,,,,
2026-06-15 13:30:00,DELL,BUY,0.976419213973799,0.976419213973799,,,,
2026-06-15 14:30:00,MRVL,BUY,0.9842794759825328,0.9842794759825328,,,,
2026-06-15 14:30:00,BE,BUY,0.9842794759825327,0.9842794759825327,,,,
2026-06-15 14:30:00,WDC,BUY,0.977292576419214,0.977292576419214,,,,
2026-06-15 17:30:00,OWL,EXIT,,,False,True,False,True
