ticker,days_held,total_pnl,total_contribution_return,mean_position_return,median_position_return,hit_rate,best_day_return,worst_day_return
VTRS,15,0.2819301497856368,0.00029276655479149407,0.0005855331095829881,0.003738298308545218,0.6666666666666666,0.020923086313100914,-0.03780268033738776
PR,29,0.17537528102670813,0.00022130914370428279,0.0008755986226771191,0.0005094360320618829,0.5172413793103449,0.06444567665720835,-0.04399990097517892
CZR,13,0.14527323159012606,0.00014698416675295773,0.00033919423096836403,-0.00033693493190745105,0.46153846153846156,0.004044517658403413,-0.0030211530655234187
SLAB,19,0.12335628761192585,0.00012828541338246732,0.0002025559158670537,0.001053839421410352,0.5789473684210527,0.0038016972536698557,-0.004289241199163407
GMED,54,-0.08793035970116228,-7.045113664040187e-05,-2.6317759262977576e-05,-0.0008182656094632423,0.48148148148148145,0.04463810352519948,-0.05079956614741121
AEO,59,-0.2586237980989261,-0.00027671947554803414,0.00011295797833509295,0.0005637107672411545,0.5084745762711864,0.06488779318834781,-0.048752186587630364
SBUX,1,-0.284626785521115,-0.0002907368031211092,-0.008722104093633276,-0.008722104093633276,0.0,-0.008722104093633276,-0.008722104093633276
DVA,15,-0.3739363932302717,-0.00037456591699627724,-0.0008403067801930823,-0.0014444139268663392,0.4666666666666667,0.027415757768609605,-0.0282781574565818
ELV,12,-0.5569469114803242,-0.0005599115656234313,-0.0013997789140585786,-0.004025596305583967,0.4166666666666667,0.010605658160219633,-0.017140278832947886
EGO,40,-0.7109390287134263,-0.000705622465876424,-0.000637422240150326,-0.0014607770103141626,0.45,0.09661140329085716,-0.08454381449354509
UNH,3,-0.8688133433568109,-0.0008691305354556718,-0.008691305354556719,-0.0071961990898247175,0.0,-0.002860262005390024,-0.016017454968455413
UTHR,31,-1.0971117802231847,-0.0011145325442861284,-0.0009692607056753323,-0.0010215248813532085,0.45161290322580644,0.029485437246714374,-0.03336741127646636
XEL,10,-1.338439808006426,-0.0013325444196305028,-0.0039976332588915085,-0.0028769174649667106,0.3,0.016755518091872812,-0.031918894749526805
TRP,19,-1.773261990972723,-0.0017879701900472872,-0.0028231108263904532,-0.0018880230331849157,0.3684210526315789,0.024498170157202015,-0.029217728790603692
NE,54,-2.2741076811043213,-0.002276911174692478,-0.0009463832656246553,0.001436585705525184,0.5370370370370371,0.050522617319029184,-0.06023819100525951
CHRD,32,-2.4639951525796797,-0.002475614705004081,-0.002587706004176401,-0.002869091366276333,0.4375,0.06581408008815415,-0.05875649729240995
CYTK,14,-2.9662196813470874,-0.0029880914176011204,-0.006403053037716687,0.00045835206829825115,0.5,0.022598080303970036,-0.06291221860558194
PSLV,40,-5.341781226322764,-0.005365362038992401,-0.005785006602348691,-0.006126912370423621,0.45,0.06927432932469535,-0.0763430247080753
WFRD,40,-6.888238459855549,-0.006989879209966861,-0.00433689882438561,-0.00772160970890895,0.425,0.10635879229643219,-0.061930242899303045
WLK,40,-7.230256694854658,-0.00733979763693064,-0.004896447682606367,-0.0027951480445769783,0.425,0.035714366251611285,-0.044007733523488635
AGX,39,-9.070996847190447,-0.009134337299744383,-0.011706250913096346,-0.021050748519916174,0.3333333333333333,0.13944440235123334,-0.11580333785545871
LBRT,40,-11.036301866957277,-0.011196070066201928,-0.01132552495821191,-0.008419101662531958,0.4,0.10326093278795745,-0.24538458310640776
