Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,gross_exposure,regime_exposure,held_tickers
2026-04-23,1034.95301340452,0.00375138988938404,0.003784723222717373,3.3333333333333335e-05,1,19,0.5809707178585702,1.0,"AES,AMAT,APA,ATI,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM,ZIM"
2026-04-24,1029.4613836877616,-0.005306163319138264,-0.005306163319138264,0.0,0,19,0.587969270601038,1.0,"AES,AMAT,APA,ATI,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM,ZIM"
2026-04-27,1030.9198145489052,0.0014166931215226046,0.0014166931215226046,0.0,0,19,0.5875901014122772,1.0,"AES,AMAT,APA,ATI,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM,ZIM"
2026-04-28,1034.9799510920066,0.003938363086830277,0.00397169642016361,3.3333333333333335e-05,1,18,0.5583505132914219,1.0,"AES,AMAT,APA,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM,ZIM"
2026-04-29,1038.25961928359,0.003168822920794789,0.0033354895874614554,0.00016666666666666666,5,15,0.45394807331602793,1.0,"AES,AMAT,APA,B,CMI,ESI,EVR,GS,MS,MTZ,NVDA,OVV,PR,TSM,ZIM"
2026-04-30,1038.9274521936482,0.0006432234266406129,0.0006765567599739462,3.3333333333333335e-05,1,16,0.47421636754829216,1.0,"AES,AMAT,APA,B,CMI,ESI,EVR,GS,LBRT,MS,MTZ,NVDA,OVV,PR,TSM,ZIM"
2026-05-01,1044.7830367626327,0.005636182350000143,0.005669515683333476,3.3333333333333335e-05,1,15,0.44923931824176633,1.0,"AES,AMAT,APA,B,CMI,ESI,EVR,GS,LBRT,MS,NVDA,OVV,PR,TSM,ZIM"
2026-05-04,1046.476841998012,0.0016212028486103627,0.001654536181943696,3.3333333333333335e-05,1,16,0.477973249956773,1.0,"AES,AMAT,APA,B,CMI,ESI,EVR,GS,KGC,LBRT,MS,NVDA,OVV,PR,TSM,ZIM"
2026-05-05,1050.0803378566632,0.0034434549471453013,0.003510121613811968,6.666666666666667e-05,2,16,0.47571209972039774,1.0,"AES,APA,B,CMI,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,OVV,PR,TSM,ZIM"
2026-05-06,1046.0717753499973,-0.0038173865009678586,-0.0038173865009678586,0.0,0,16,0.47216578387393304,1.0,"AES,APA,B,CMI,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,OVV,PR,TSM,ZIM"
2026-05-07,1051.2157707046708,0.004917440156486943,0.004917440156486943,0.0,0,16,0.4679362929303138,1.0,"AES,APA,B,CMI,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,OVV,PR,TSM,ZIM"
2026-05-08,1053.618590638143,0.0022857533157645458,0.002319086649097879,3.3333333333333335e-05,1,15,0.4434890877328169,1.0,"AES,APA,B,CMI,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,OVV,PR,ZIM"
2026-05-11,1056.191580897566,0.002442050930275076,0.002442050930275076,0.0,0,15,0.44271477647588847,1.0,"AES,APA,B,CMI,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,OVV,PR,ZIM"
2026-05-12,1056.9525633176481,0.0007204965783153704,0.0007871632449820371,6.666666666666667e-05,2,17,0.4990526012925891,1.0,"AAP,AES,APA,B,BBIO,CMI,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,OVV,PR,ZIM"
2026-05-13,1050.1019213548666,-0.006481503712217762,-0.006348170378884428,0.00013333333333333334,4,19,0.5549547427444628,1.0,"AAP,AES,AGI,APA,B,BBIO,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,NYT,OVV,PFSI,PR,ZIM"
2026-05-14,1046.5193097631018,-0.003411679874980439,-0.003378346541647106,3.3333333333333335e-05,1,20,0.5761910829694714,1.0,"AAP,AES,AGI,APA,B,BBIO,ESI,EVR,GH,GS,KGC,LBRT,MS,NVDA,NYT,OVV,PFSI,PR,WLK,ZIM"
2026-05-15,1044.1245456788897,-0.0022883133276863127,-0.0022549799943529796,3.3333333333333335e-05,1,19,0.5448415930315806,1.0,"AAP,AES,AGI,APA,B,BBIO,ESI,GH,GS,KGC,LBRT,MS,NVDA,NYT,OVV,PFSI,PR,WLK,ZIM"
2026-05-18,1045.6121730636842,0.0014247604760859308,0.001624760476085931,0.0002,6,15,0.41396610315234406,1.0,"AAP,AES,AGI,B,BBIO,ESI,GH,KGC,LBRT,OVV,PFSI,PR,TSM,WLK,ZIM"
2026-05-19,1053.5034767658556,0.007547065638160638,0.0075803989714939716,3.3333333333333335e-05,1,16,0.45673994755432723,1.0,"AAP,AES,AGI,B,BBIO,ESI,GH,KGC,LBRT,OVV,PFSI,PR,TSM,WLK,YUMC,ZIM"
2026-05-20,1052.186436543067,-0.0012501527065025561,-0.001050152706502556,0.0002,6,20,0.5915467075257729,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,ESI,FTI,GH,KGC,LBRT,NYT,OVV,PFSI,PR,TSM,WLK,YUMC,ZIM"
2026-05-21,1050.5237984687108,-0.0015801744031397405,-0.0015135077364730738,6.666666666666667e-05,2,22,0.6558384148457692,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,ESI,FTI,GH,KGC,LBRT,MPC,NYT,OVV,PFSI,PR,TSM,VLO,WLK,YUMC,ZIM"
2026-05-22,1041.9486503849487,-0.008162735671730361,-0.008162735671730361,0.0,0,22,0.6531708072998966,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,ESI,FTI,GH,KGC,LBRT,MPC,NYT,OVV,PFSI,PR,TSM,VLO,WLK,YUMC,ZIM"
2026-05-26,1043.7911595732346,0.0017683301260623787,0.001901663459395712,0.00013333333333333334,4,18,0.5428379728981731,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,FTI,KGC,LBRT,MPC,OVV,PFSI,PR,VLO,WLK,YUMC,ZIM"
2026-05-27,1042.4047671671349,-0.001328227771795416,-0.001328227771795416,0.0,0,18,0.5451031208438554,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,FTI,KGC,LBRT,MPC,OVV,PFSI,PR,VLO,WLK,YUMC,ZIM"
2026-05-28,1046.18857285173,0.003629881408618496,0.003629881408618496,0.0,0,18,0.5434815746137192,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,FTI,KGC,LBRT,MPC,OVV,PFSI,PR,VLO,WLK,YUMC,ZIM"
2026-05-29,1047.6781720785602,0.0014238343502163654,0.001490501016883032,6.666666666666667e-05,2,20,0.6058041596260955,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,DINO,FTI,KGC,LBRT,MPC,NE,OVV,PFSI,PR,VLO,WLK,YUMC,ZIM"
2026-06-01,1054.4079934821934,0.00642355790450545,0.006490224571172116,6.666666666666667e-05,2,22,0.6578248014460771,1.0,"AAP,AES,AGI,BBIO,BP,CHRD,DAR,DINO,FTI,KGC,LBRT,MPC,NE,OVV,PFSI,PR,S,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-02,1044.5747523803288,-0.009325840815555835,-0.009192507482222502,0.00013333333333333334,4,26,0.7784076997925912,1.0,"AAP,AES,AGI,APA,BBIO,BP,CHRD,CVE,DAR,DINO,FTI,KGC,LBRT,MPC,NE,OVV,PFSI,PR,S,SM,SU,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-03,1049.4583507056093,0.004675202338704683,0.004675202338704683,0.0,0,26,0.780728113023253,1.0,"AAP,AES,AGI,APA,BBIO,BP,CHRD,CVE,DAR,DINO,FTI,KGC,LBRT,MPC,NE,OVV,PFSI,PR,S,SM,SU,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-04,1036.835128057407,-0.012028321695391779,-0.011994988362058446,3.3333333333333335e-05,1,25,0.7501859231957289,1.0,"AAP,AGI,APA,BBIO,BP,CHRD,CVE,DAR,DINO,FTI,KGC,LBRT,MPC,NE,OVV,PFSI,PR,S,SM,SU,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-05,1037.290548661628,0.00043924110198142335,0.0004725744353147567,3.3333333333333335e-05,1,26,0.3861675866456875,0.5,"AAP,AGI,APA,BBIO,BP,CHRD,CVE,DAR,DINO,FTI,KGC,LBRT,MPC,MRNA,NE,OVV,PFSI,PR,S,SM,SU,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-08,1023.3298870154553,-0.01345877648667062,-0.013392109820003953,6.666666666666667e-05,2,28,0.8088290313474369,1.0,"AAP,AGI,APA,BBIO,BP,CHRD,CVE,DAR,DINO,EGO,FTI,KGC,LBRT,MPC,MRNA,NE,OVV,PFSI,PR,PSLV,S,SM,SU,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-09,1035.6859456417214,0.012074365053778313,0.012074365053778313,0.0,0,28,0.8106953537998448,1.0,"AAP,AGI,APA,BBIO,BP,CHRD,CVE,DAR,DINO,EGO,FTI,KGC,LBRT,MPC,MRNA,NE,OVV,PFSI,PR,PSLV,S,SM,SU,VLO,WFRD,WLK,YUMC,ZIM"
2026-06-10,1033.7024033913958,-0.00191519664689143,-0.00181519664689143,0.0001,3,25,0.3645489553348806,0.5,"AAP,AGI,APA,BBIO,CHRD,CVE,DAR,DINO,EGO,FTI,KGC,LBRT,MPC,MRNA,NE,OVV,PFSI,PR,PSLV,S,SU,WFRD,WLK,YUMC,ZIM"
2026-06-11,1035.346562971067,0.0015905540843059356,0.0015905540843059356,0.0,0,25,0.7305323431805738,1.0,"AAP,AGI,APA,BBIO,CHRD,CVE,DAR,DINO,EGO,FTI,KGC,LBRT,MPC,MRNA,NE,OVV,PFSI,PR,PSLV,S,SU,WFRD,WLK,YUMC,ZIM"
2026-06-12,1028.05827391676,-0.007039468053472152,-0.006972801386805486,6.666666666666667e-05,2,23,0.667249607866215,1.0,"AAP,AGI,APA,BBIO,CHRD,CVE,DAR,DINO,EGO,FTI,KGC,LBRT,MPC,MRNA,NE,PFSI,PR,PSLV,S,SU,WFRD,WLK,ZIM"
2026-06-15,1025.0041301983206,-0.002970788520385713,-0.0028707885203857132,0.0001,3,24,0.6949743386158664,1.0,"AAP,AGI,APA,BBIO,CHRD,CVE,DAR,DINO,EGO,FTI,HUM,KGC,LBRT,MPC,MRNA,NE,PFSI,PSLV,S,SU,TEVA,WFRD,WLK,ZIM"
