Date,model_as_of_date,retrain_fold,universe_rows,pred_cat_positive,pred_lgbm_positive,both_models_positive,positive_agreement,risk_eligible,agreement_and_risk_eligible,quantile_long_signals,final_candidates,entries,replacements,exits_missing,exits_opposite,exits_weak,exits_age,holdings,gross_exposure,regime_exposure,median_pred_raw,max_pred_raw
2026-06-23,2026-05-31,0,759,372,365,315,38,589,27,16,0,0,0,0,0,0,0,5,0.14903949052486087,1.0,-0.015173824495277433,1.1051927755393152
2026-06-24,2026-05-31,0,759,415,385,332,38,590,22,16,0,0,0,0,0,0,0,5,0.1496869790351775,1.0,0.009630983149910795,1.1534150963689596
2026-06-25,2026-05-31,0,758,450,369,335,42,589,29,16,0,0,0,0,0,0,0,5,0.14913111700666176,1.0,0.022690332181991277,1.1420013879304118
2026-06-26,2026-05-31,0,758,537,415,395,41,589,29,16,0,0,0,0,0,0,0,5,0.14942460411347008,1.0,0.08214008188366627,1.2031004732061084
2026-06-29,2026-05-31,0,758,544,424,389,33,587,25,16,0,0,0,0,0,0,0,5,0.1506623316227956,1.0,0.0960583277083852,1.0765001716554847
2026-06-30,2026-05-31,0,758,635,637,587,32,587,20,16,0,0,0,0,0,0,0,5,0.15105511355475953,1.0,0.24210964259521536,1.1259989009377922
2026-07-01,2026-06-30,1,757,637,657,591,31,587,19,16,0,0,0,0,0,0,0,5,0.07555586616440055,0.5,0.22537252034321642,1.3522766535016615
2026-07-02,2026-06-30,1,757,687,675,631,29,587,16,16,0,0,0,0,0,0,0,5,0.07521716644359351,0.5,0.17696786132414233,1.236325704990585
2026-07-06,2026-06-30,1,756,755,703,702,26,585,2,16,1,0,0,0,0,0,0,5,0.07535499132513919,0.5,0.26577510980192853,1.0813324157375086
2026-07-07,2026-06-30,1,754,653,680,601,18,584,15,16,1,0,0,0,0,0,0,5,0.15089009881191598,1.0,0.1603270494644875,0.9320451302243727
2026-07-08,2026-06-30,1,754,519,527,422,25,585,18,16,2,1,0,0,0,0,0,6,0.18455747477558512,1.0,0.07379013287203746,0.8783747807053071
2026-07-09,2026-06-30,1,754,722,660,642,17,585,14,16,3,1,0,0,0,0,0,7,0.2178681102805544,1.0,0.17806304118715238,0.9846524855059888
2026-07-10,2026-06-30,1,754,722,694,676,20,584,26,16,10,7,0,0,0,0,0,14,0.4500477334431589,1.0,0.242011698943221,0.9766573181213248
2026-07-13,2026-06-30,1,754,366,449,292,24,585,25,16,5,0,0,0,0,1,0,13,0.4165532915100108,1.0,0.022057771302548827,0.8224443316927363
2026-07-14,2026-06-30,1,754,460,648,428,21,585,28,16,5,0,0,0,0,0,0,13,0.4154868477865893,1.0,0.1268630807459894,0.8406997010996778
2026-07-15,2026-06-30,1,754,649,666,607,21,584,35,16,8,5,0,0,0,0,0,18,0.5816751340284105,1.0,0.20666407162971884,0.9140441905558139
2026-07-16,2026-06-30,1,745,329,465,295,23,577,40,15,13,3,0,0,0,0,0,21,0.6821954513136362,1.0,0.028256381999534723,0.8807562108344106
2026-07-17,2026-06-30,1,745,171,285,145,25,577,21,15,2,0,0,0,0,1,0,20,0.6566245027567204,1.0,-0.08854366524347093,0.780816024383183
2026-07-20,2026-06-30,1,746,171,339,159,19,577,11,15,2,0,0,0,0,0,0,20,0.656521809245904,1.0,-0.06822738170430731,0.7313652882494024
2026-07-21,2026-06-30,1,746,246,459,223,25,575,35,15,8,0,0,0,0,0,0,20,0.6567154365373795,1.0,-0.003543820562026956,0.6877591663478833
2026-07-22,2026-06-30,1,746,290,568,275,26,576,44,15,11,3,0,0,0,0,0,23,0.7554551890759557,1.0,0.05267038501607477,0.7881563298047055
2026-07-23,2026-06-30,1,743,155,373,143,24,574,23,15,1,0,0,0,0,0,0,23,0.7558314302702651,1.0,-0.062027870650741355,0.7060277037057707
2026-07-24,2026-06-30,1,742,137,322,130,26,573,18,15,1,0,0,0,0,1,0,22,0.7169589599295598,1.0,-0.09319371691076449,0.7269161375266026
2026-07-27,2026-06-30,1,743,104,260,92,21,574,29,15,3,0,0,0,0,0,0,22,0.7162591014040361,1.0,-0.11637866972320564,0.5476568631504345
2026-07-28,2026-06-30,1,743,303,302,223,24,574,26,15,3,0,0,0,0,0,0,22,0.7169778661319561,1.0,-0.04562085614632759,0.7335025975132303
2026-07-29,2026-06-30,1,742,118,225,108,30,573,24,15,0,0,0,0,0,5,3,14,0.23333333333333334,0.5,-0.15146349158112626,0.7090513422899597
2026-07-30,2026-06-30,1,743,159,415,146,26,574,33,15,10,3,0,0,0,0,0,17,0.5660326523537296,1.0,-0.04590500400916166,0.5924962592425497
2026-07-31,2026-07-30,2,745,626,580,504,20,577,26,15,14,6,0,0,0,0,0,23,0.7661271047191102,1.0,0.10776433368747881,0.7178644527215732
2026-08-03,2026-07-30,2,742,305,511,284,34,574,43,15,15,2,0,0,0,0,0,25,0.8327280063205521,1.0,0.029267844411794038,0.8203905309646211
2026-08-04,2026-07-30,2,744,467,577,431,21,574,23,15,13,1,0,0,0,0,0,26,0.8657635110140668,1.0,0.10115374487763232,0.7136677212921885
2026-08-05,2026-07-30,2,744,555,584,496,28,574,28,15,15,0,0,0,0,0,0,26,0.8651975569054443,1.0,0.1243467955776062,0.7259553811219617
2026-08-06,2026-07-30,2,746,641,583,551,32,573,34,15,15,1,0,0,0,0,0,27,0.9,1.0,0.16783848616627847,0.8889879492839506
2026-08-07,2026-07-30,2,743,560,550,498,32,572,34,15,15,1,0,0,0,0,0,28,0.9333333333333333,1.0,0.13373534598919345,0.9464212734967378
2026-08-10,2026-07-30,2,742,478,547,439,38,572,41,15,15,0,0,0,0,0,0,28,0.9333333333333333,1.0,0.10355673765320947,0.9747891715921053
2026-08-11,2026-07-30,2,746,432,542,381,36,574,36,15,15,2,0,0,0,0,0,30,1.0,1.0,0.09928844399288339,0.9501406137996974
2026-08-12,2026-07-30,2,746,547,528,463,30,574,33,15,15,1,1,0,0,0,0,30,1.0,1.0,0.13011775856004587,0.8999432430833558
2026-08-13,2026-07-30,2,746,556,554,480,29,575,31,15,15,0,0,0,0,0,0,30,1.0,1.0,0.1380644669730086,0.8352737459527322
2026-08-14,2026-07-30,2,746,490,508,408,30,576,30,15,15,0,0,0,0,0,0,30,0.9993207486389127,1.0,0.1126501036939869,0.8922939814055246
2026-08-17,2026-07-30,2,746,510,572,461,33,575,33,15,15,1,1,0,0,0,0,30,0.9984746848647176,1.0,0.1313910542183646,0.9484259612474768
2026-08-18,2026-07-30,2,746,412,570,373,29,574,32,15,15,0,0,0,0,0,0,30,0.9979820809552653,1.0,0.09025628344704825,0.9144606037583257
2026-08-19,2026-07-30,2,744,494,576,435,31,573,41,15,15,1,1,0,0,0,0,30,1.0,1.0,0.1167805959249762,0.8354670928311698
2026-08-20,2026-07-30,2,744,499,486,389,26,572,32,15,15,1,0,1,0,0,0,30,1.0,1.0,0.06032550963087152,0.7969144344614474
2026-08-21,2026-07-30,2,743,399,542,357,31,573,37,15,15,0,0,0,0,0,0,30,1.0,1.0,0.06710002964712258,0.8849693085885926
2026-08-24,2026-07-30,2,742,444,534,376,32,573,45,15,15,0,0,0,0,0,0,30,1.0,1.0,0.061915773559963985,0.8456570142185165
2026-08-25,2026-07-30,2,743,437,462,355,31,572,42,15,15,0,0,0,0,0,0,30,1.0,1.0,0.03353520537345407,0.7957233410937451
2026-08-26,2026-07-30,2,743,590,581,494,27,572,35,15,15,0,0,0,0,0,0,30,1.0,1.0,0.12206322754748078,0.8248973616103333
2026-08-27,2026-07-30,2,743,444,593,413,28,573,39,15,14,0,0,0,0,0,0,30,1.0,1.0,0.11539175726500045,0.8705247400158015
