Date,ticker,action,pred,score,rolling_vol,rolling_beta,target_weight,opposite_signal,weak_long,weak_short,too_old
2026-07-16,COST,BUY,0.48282374165279673,0.9761273209549072,0.2222569396044779,-0.1106753230205316,0.03333333333333333,,,,
2026-07-16,EQIX,BUY,0.5128450864185521,0.9708222811671088,0.21427469280183803,0.41754260085955447,0.03333333333333333,,,,
2026-07-16,ETR,BUY,0.5384610872846677,0.970159151193634,0.21939794547900662,0.18113188122860674,0.03333333333333333,,,,
2026-07-17,PSLV,EXIT,,,,,,False,True,False,False
2026-07-22,LNT,BUY,0.5496915216127883,0.9845844504021448,0.20434420623351518,-0.1117653839942934,0.03333333333333333,,,,
2026-07-22,EVRG,BUY,0.511766827326614,0.9765415549597856,0.1909319376689689,-0.05526722594812909,0.03333333333333333,,,,
2026-07-22,UNM,BUY,0.5024262874838207,0.9691689008042895,0.20817426615829587,0.19818177743099086,0.03333333333333333,,,,
2026-07-24,EQIX,EXIT,,,,,,False,True,False,False
2026-07-29,LBRT,EXIT,,,,,,False,False,False,True
2026-07-29,NE,EXIT,,,,,,False,False,False,True
2026-07-29,ZIM,EXIT,,,,,,False,False,False,True
2026-07-29,PEP,EXIT,,,,,,False,True,False,False
2026-07-29,QSR,EXIT,,,,,,False,True,False,False
2026-07-29,YUM,EXIT,,,,,,False,True,False,False
2026-07-29,WMB,EXIT,,,,,,False,True,False,False
2026-07-29,COST,EXIT,,,,,,False,True,False,False
2026-07-30,ZIM,BUY,0.4590069516575074,0.9872139973082099,0.4096836617541273,0.8609766705974826,0.03269931902039621,,,,
2026-07-30,PNW,BUY,0.434245211574396,0.984522207267833,0.19623417813057864,-0.1485233755521607,0.03333333333333333,,,,
2026-07-30,PPL,BUY,0.412920454947638,0.977792732166891,0.21206474684010984,-0.0028611277499703647,0.03333333333333333,,,,
2026-07-31,PEG,BUY,0.6200607601017254,0.9852348993288591,0.19289818976530615,0.15448190802805548,0.03333333333333333,,,,
2026-07-31,LIN,BUY,0.5980572320840831,0.9798657718120806,0.19899512781375006,0.1409740744272202,0.03333333333333333,,,,
2026-07-31,WMB,BUY,0.5703967822410674,0.9778523489932885,0.2753971538294515,-0.003882068922860657,0.03333333333333333,,,,
2026-07-31,SRE,BUY,0.5710447133187936,0.9751677852348993,0.2061018460182073,0.207349181098385,0.03333333333333333,,,,
2026-07-31,NEE,BUY,0.5674006571534682,0.974496644295302,0.2269928254519587,0.1465198064629318,0.03333333333333333,,,,
2026-07-31,DTE,BUY,0.5847035344003851,0.9718120805369128,0.21327751844679327,-0.019801625017578633,0.03333333333333333,,,,
2026-08-03,ATO,BUY,0.6534573718888683,0.9871967654986523,0.17553808472295016,-0.1196269596108221,0.03333333333333333,,,,
2026-08-03,YUM,BUY,0.609534731560698,0.9777628032345014,0.2467631470307101,0.1047054294123399,0.03333333333333333,,,,
2026-08-04,FE,BUY,0.41704439292363965,0.9684139784946237,0.18955598622692396,-0.08522853391108026,0.03333333333333333,,,,
2026-08-06,AEE,BUY,0.6282241211947013,0.9819034852546917,0.21904539624790062,-0.10948959285954539,0.03333333333333333,,,,
2026-08-07,KIM,BUY,0.6513020913686135,0.9777927321668909,0.20741303707258896,0.14054354378074216,0.03333333333333333,,,,
2026-08-11,CPT,BUY,0.7476838800251029,0.9845844504021448,0.2121363227304574,0.09979646860415,0.03333333333333333,,,,
2026-08-11,EQR,BUY,0.7283145806410605,0.9792225201072386,0.20874141643854477,0.17861628602724663,0.03333333333333333,,,,
2026-08-12,UNM,REPLACE_EXIT,,,,,,,,,
2026-08-12,INVH,BUY,0.7249303757503717,0.9859249329758712,0.19674790653876142,0.10975007564589323,0.03333333333333333,,,,
2026-08-17,WMB,REPLACE_EXIT,,,,,,,,,
2026-08-17,WEC,BUY,0.6977783535893085,0.9865951742627346,0.1882203724757896,-0.11986214819984248,0.03333333333333333,,,,
2026-08-19,ZIM,REPLACE_EXIT,,,,,,,,,
2026-08-19,D,BUY,0.8354670928311698,0.9885906040268456,0.17779608466001395,-0.07603319829173145,0.03333333333333333,,,,
2026-08-20,EQR,EXIT_MISSING,,,,,,,,,
2026-08-20,WMB,BUY,0.6030182088327907,0.9718498659517426,0.2670617726474846,-0.013131320745582474,0.03333333333333333,,,,
