Date,model_as_of_date,retrain_fold,universe_rows,pred_cat_positive,pred_lgbm_positive,both_models_positive,positive_agreement,risk_eligible,agreement_and_risk_eligible,quantile_long_signals,final_candidates,entries,replacements,exits_missing,exits_opposite,exits_weak,exits_age,holdings,gross_exposure,regime_exposure,median_pred_raw,max_pred_raw
2025-10-10,2025-08-31,0,761,748,738,731,21,598,20,16,10,6,3,0,0,0,0,30,0.4900024868723337,0.5,0.3376878852053863,0.8379333750972588
2025-10-13,2025-08-31,0,761,758,728,726,29,600,25,16,13,6,6,0,0,0,0,30,0.9762481395100979,1.0,0.37159087389745266,0.7994470837959793
2025-10-14,2025-08-31,0,761,754,734,729,26,601,21,16,11,2,0,0,2,1,0,30,0.9662855978308269,1.0,0.41458571316006865,0.9292645134670499
2025-10-15,2025-08-31,0,761,739,712,702,21,602,25,16,9,2,0,0,2,2,0,30,0.9626808459341277,1.0,0.34890802756509226,0.9667755258725798
2025-10-16,2025-08-31,0,761,760,723,723,20,601,15,16,6,2,2,0,0,0,0,30,0.48228243057023407,0.5,0.5405911338031784,1.1644292012429212
2025-10-17,2025-08-31,0,761,745,694,686,27,601,29,16,13,3,3,0,0,0,0,30,0.959005736760279,1.0,0.4000571759240642,0.8623353336607322
2025-10-20,2025-08-31,0,761,703,499,488,16,602,20,16,8,2,0,0,0,2,0,30,0.9576557714967175,1.0,0.14677409496608343,0.4901348216385888
2025-10-21,2025-08-31,0,761,718,478,472,16,602,28,16,8,1,0,0,0,1,0,30,0.9556022347447222,1.0,0.16983308823353183,0.5927980589432366
2025-10-22,2025-08-31,0,761,716,613,593,12,602,19,16,5,0,0,0,0,0,0,30,0.9513457535142565,1.0,0.21934601467665515,0.6740330737058434
2025-10-23,2025-08-31,0,762,721,642,622,15,601,20,16,10,1,1,0,0,0,0,30,0.9514554066360275,1.0,0.24834784911655736,0.6449032094068362
2025-10-24,2025-08-31,0,762,606,377,343,9,601,15,16,7,2,2,0,0,0,0,30,0.9524781406443096,1.0,0.05064510936115786,0.40789853184462554
2025-10-27,2025-08-31,0,762,591,430,399,12,601,20,16,10,4,4,0,0,0,0,30,0.4760066257068979,0.5,0.06303109981783933,0.3993888510296526
2025-10-28,2025-08-31,0,762,404,466,328,14,602,18,16,10,3,2,0,0,1,0,30,0.479357308634125,0.5,0.03330793546105423,0.5366141939813068
2025-10-29,2025-08-31,0,762,650,574,545,14,602,27,16,11,3,2,0,0,0,1,30,0.4704641217189968,0.5,0.1574633943752483,0.6977478978464527
2025-10-30,2025-08-31,0,762,700,621,606,17,600,31,16,9,1,0,0,0,0,1,30,0.46703791718793497,0.5,0.19507066399037806,0.7536445366307991
2025-10-31,2025-08-31,0,762,715,660,638,16,601,26,16,11,1,1,0,0,0,0,30,0.4692836071033088,0.5,0.20755347947869712,0.6416677092333807
2025-11-03,2025-08-31,0,762,416,649,389,20,601,25,16,12,6,6,0,0,0,0,30,0.47261276697646176,0.5,0.0782434190085114,0.5726177764444232
2025-11-04,2025-08-31,0,762,694,723,668,14,602,15,16,8,0,0,0,0,0,0,30,0.4739770047725209,0.5,0.1866530894908459,0.676633540513681
2025-11-05,2025-08-31,0,762,503,730,494,17,601,21,16,9,0,0,0,0,0,0,30,0.4709758679549552,0.5,0.18308810532135278,0.664260923821461
2025-11-06,2025-08-31,0,762,725,729,703,24,601,28,16,14,4,4,0,0,0,0,30,0.47187522143804284,0.5,0.24316170308475363,0.8838115922335947
2025-11-07,2025-08-31,0,762,760,695,694,20,601,15,16,8,0,0,0,0,0,0,30,0.9518273145406749,1.0,0.24210867809363218,0.8830397283742231
2025-11-10,2025-08-31,0,762,630,494,454,23,602,37,16,13,4,4,0,0,0,0,30,0.9434123219262395,1.0,0.06296726331084676,0.5784516578526906
2025-11-11,2025-08-31,0,762,129,299,97,24,604,34,16,14,4,1,0,0,3,0,30,0.9437783042661597,1.0,-0.06746731256709354,0.49597490011997925
2025-11-12,2025-08-31,0,761,148,264,109,21,603,29,16,11,3,1,0,0,2,0,30,0.9588804838933576,1.0,-0.06932559091310603,0.4462141824412006
2025-11-13,2025-08-31,0,762,668,677,617,20,604,25,16,13,3,3,0,0,0,0,30,0.9546496735186564,1.0,0.15291924840130194,0.7445317417089126
2025-11-14,2025-08-31,0,762,740,730,715,12,604,15,16,6,1,1,0,0,0,0,30,0.9540459393898507,1.0,0.25770337985576525,0.637929620688197
2025-11-17,2025-08-31,0,762,757,747,745,18,605,16,16,10,2,2,0,0,0,0,30,0.4774394048032698,0.5,0.41844653569143486,0.8109990738322012
2025-11-18,2025-08-31,0,762,759,752,751,22,605,16,16,10,0,0,0,0,0,0,30,0.4777608137208436,0.5,0.48333406373693494,0.9553070841140492
2025-11-19,2025-08-31,0,762,762,757,757,19,605,11,16,7,0,0,0,0,0,0,30,0.4777681654937399,0.5,0.496190360170242,0.9292326022692905
2025-11-20,2025-08-31,0,762,758,757,755,18,604,17,16,10,0,0,0,0,0,0,30,0.4778304430935387,0.5,0.5147789142983203,0.9500800214792476
2025-11-21,2025-08-31,0,762,757,753,749,13,603,9,16,7,3,3,0,0,0,0,30,0.4747712449586885,0.5,0.46517351677032304,0.8780818340563562
2025-11-24,2025-08-31,0,762,753,746,742,25,603,24,16,12,5,5,0,0,0,0,30,0.9522707732723451,1.0,0.39835477192169233,0.7785711099601812
2025-11-25,2025-08-31,0,762,583,716,576,26,604,38,16,10,3,0,0,0,0,3,30,0.9423806268191088,1.0,0.2118513381409784,0.6108327930991584
2025-11-26,2025-08-31,0,762,635,691,617,19,604,36,16,10,0,0,0,0,0,0,30,0.9448634173470555,1.0,0.18057858539327715,0.5486660509243959
2025-11-28,2025-08-31,0,762,709,704,674,21,604,37,16,13,3,1,0,0,1,1,30,0.9419736338717581,1.0,0.23150805758527582,0.5862034349344428
2025-12-01,2025-08-31,0,762,182,96,90,35,603,52,16,15,11,0,0,0,16,0,25,0.8316342382263245,1.0,-0.19899170875359032,0.6437605604533824
2025-12-02,2025-08-31,0,762,166,115,99,36,603,46,16,15,4,0,0,0,2,1,26,0.8649437314944488,1.0,-0.21640251694404883,0.6505743257619622
2025-12-03,2025-08-31,0,762,177,129,98,36,602,39,16,15,4,0,0,0,0,0,30,0.9979234271926631,1.0,-0.17808181838187898,0.5784222660838549
2025-12-04,2025-08-31,0,762,213,123,103,30,603,42,16,14,2,1,0,0,0,1,30,0.9996109843716079,1.0,-0.15901085307528834,0.5528671401747288
2025-12-05,2025-08-31,0,762,138,136,98,33,602,48,16,14,1,1,0,0,0,0,30,0.9970471760155332,1.0,-0.17332787401150554,0.5338308540687349
2025-12-08,2025-08-31,0,762,125,125,98,36,603,57,16,16,3,3,0,0,0,0,30,0.9976867677906346,1.0,-0.28175779527437794,0.569638072157169
2025-12-09,2025-08-31,0,762,108,135,91,37,603,53,16,16,0,0,0,0,0,0,30,0.9977864219848007,1.0,-0.2764510801181346,0.5744850349206382
2025-12-10,2025-08-31,0,762,100,116,74,31,603,48,16,15,1,0,0,0,1,0,30,0.995488501019299,1.0,-0.2892671046053905,0.5013262477539391
2025-12-11,2025-08-31,0,762,118,303,87,19,604,31,16,12,2,0,0,0,2,0,30,0.9967939928068202,1.0,-0.08865452162821827,0.41363041113867727
2025-12-12,2025-08-31,0,762,174,195,118,29,603,34,16,13,0,0,0,0,0,0,30,0.9961806671589013,1.0,-0.10787715916635024,0.4917790795069894
2025-12-15,2025-08-31,0,762,106,118,78,34,603,44,16,16,2,2,0,0,0,0,30,0.9964749534055989,1.0,-0.3299666265844491,0.5101290807812087
2025-12-16,2025-08-31,0,762,116,112,81,31,603,39,16,13,1,1,0,0,0,0,30,0.9976468340111795,1.0,-0.29224473414233454,0.47827262856742253
2025-12-17,2025-08-31,0,762,168,126,98,29,603,39,16,16,2,2,0,0,0,0,30,0.9981668368872398,1.0,-0.21711502602063076,0.6192111373918552
2025-12-18,2025-08-31,0,762,113,151,92,32,603,47,16,11,1,0,0,0,1,0,30,0.9966003696531162,1.0,-0.173562244037533,0.4682187439047877
2025-12-19,2025-08-31,0,762,620,202,189,9,603,18,16,4,1,1,0,0,0,0,30,0.9921118481922064,1.0,0.0009209762793328108,0.525563400024373
2025-12-22,2025-08-31,0,762,691,613,590,21,604,27,16,4,1,1,0,0,0,0,30,0.9893179543798298,1.0,0.15255668876347467,0.6487420238999185
2025-12-23,2025-08-31,0,762,699,489,476,12,602,20,16,4,0,0,0,0,0,0,30,0.9898341516932753,1.0,0.11474478873328506,0.598398990067906
2025-12-24,2025-08-31,0,762,758,659,659,16,603,11,16,4,0,0,0,0,0,0,30,0.9893018007722941,1.0,0.20405246545208952,0.624085309891286
2025-12-26,2025-08-31,0,762,756,513,513,15,603,11,16,6,2,2,0,0,0,0,30,0.9820043216740316,1.0,0.1566223588587498,0.5433143626307562
2025-12-29,2025-08-31,0,762,757,684,684,12,603,10,16,6,1,1,0,0,0,0,30,0.9824037913345346,1.0,0.22508672737460797,0.6717307120615398
2025-12-30,2025-08-31,0,762,751,515,513,18,603,15,16,9,1,1,0,0,0,0,30,0.9830509186603346,1.0,0.14049751875575422,0.6339719007024154
2025-12-31,2025-08-31,0,762,759,508,508,24,603,23,16,13,2,2,0,0,0,0,30,0.9858148507443404,1.0,0.15616185400360413,0.7456110868800194
2026-01-02,2025-08-31,0,762,762,340,340,29,603,29,16,16,5,5,0,0,0,0,30,0.9875080503218756,1.0,0.14242634010606253,0.833950028470957
2026-01-05,2025-08-31,0,762,614,362,336,27,604,35,16,15,1,1,0,0,0,0,30,0.98788092640861,1.0,0.0494922034522781,0.6604157050777025
2026-01-06,2025-08-31,0,762,578,425,368,29,604,32,16,15,2,0,0,0,1,1,30,0.9909569345018853,1.0,0.04767045322998556,0.7207897519597677
2026-01-07,2025-08-31,0,762,691,414,399,29,605,33,16,16,2,2,0,0,0,0,30,0.9925669306935794,1.0,0.07369985970594675,0.8374984165556019
2026-01-08,2025-08-31,0,762,565,438,371,34,604,38,16,16,2,2,0,0,0,0,30,0.9891431259553405,1.0,0.03654529610153645,0.8120495982200212
2026-01-09,2025-08-31,0,762,745,708,695,17,605,17,16,13,2,0,0,0,0,2,30,0.989717406841332,1.0,0.18871052440309774,0.7197235473766024
2026-01-12,2025-08-31,0,762,648,286,279,34,605,44,16,16,4,4,0,0,0,0,30,0.9897173556916344,1.0,0.02383556549234301,0.6217166049220509
2026-01-13,2025-08-31,0,762,368,262,213,40,602,42,16,16,2,1,0,0,1,0,30,0.9936962136596429,1.0,-0.04802822678742251,1.0556615462253531
2026-01-14,2025-08-31,0,762,199,676,197,30,601,39,16,16,0,0,0,0,0,1,29,0.9604541261565781,1.0,0.02002098994314965,0.9145065526474249
2026-01-15,2025-08-31,0,762,407,719,393,29,601,32,16,16,0,0,0,0,0,0,29,0.965485709977387,1.0,0.12205030908377931,1.0089763968261147
2026-01-16,2025-08-31,0,762,474,738,465,24,602,27,16,15,0,0,0,0,0,0,29,0.9652785403762315,1.0,0.1576911056811842,1.0628513751165845
2026-01-20,2025-08-31,0,762,214,326,182,33,601,42,16,16,4,2,0,0,1,0,30,0.9984655441265942,1.0,-0.10545097413900487,0.886325519618125
2026-01-21,2025-08-31,0,762,160,697,156,22,602,32,16,15,0,0,0,0,0,0,30,0.9978331571583554,1.0,0.01191352021601182,0.8917168892703198
2026-01-22,2025-08-31,0,762,378,757,377,18,602,19,16,14,1,1,0,0,0,0,30,0.9974619342535108,1.0,0.17680057410041766,0.9531937792045619
2026-01-23,2025-08-31,0,762,338,751,334,15,602,15,16,14,0,0,0,0,0,0,30,0.9974753254480304,1.0,0.16817740898951417,0.9617742653499708
2026-01-26,2025-08-31,0,762,634,757,631,6,602,6,16,5,1,1,0,0,0,0,30,0.9971658535818796,1.0,0.26902079139529234,0.7851303271850684
2026-01-27,2025-08-31,0,762,240,269,177,37,602,42,16,16,4,4,0,0,0,0,30,0.9965222444095325,1.0,-0.09014117014919948,0.9234587263028771
2026-01-28,2025-08-31,0,762,141,187,119,39,602,44,16,16,1,0,0,0,1,0,30,1.0,1.0,-0.20741845694385969,0.8685925701511421
2026-01-29,2025-08-31,0,762,155,269,134,35,602,38,16,16,2,0,0,0,0,3,29,0.9666666666666667,1.0,-0.15368295522801645,0.8438686416762051
2026-01-30,2025-08-31,0,762,131,144,102,37,601,43,16,16,4,1,0,0,0,2,30,1.0,1.0,-0.301057580063099,0.8582133886723513
2026-02-02,2025-08-31,0,762,109,87,82,37,601,38,16,16,2,1,0,0,1,0,30,1.0,1.0,-0.5392974363119305,0.6713320633238442
2026-02-03,2025-08-31,0,762,106,89,80,39,603,45,16,16,3,2,0,0,0,1,30,1.0,1.0,-0.6129590980810512,0.8755537354134351
2026-02-04,2025-08-31,0,762,117,91,88,38,603,46,16,16,1,1,0,0,0,0,30,1.0,1.0,-0.5084838313208007,0.7998073936900474
2026-02-05,2025-08-31,0,762,126,100,87,34,602,41,16,16,0,0,0,0,0,1,29,0.48333333333333334,0.5,-0.3968802322014293,0.7593049659492245
2026-02-06,2025-08-31,0,762,152,86,85,36,601,45,16,16,1,0,0,0,0,0,30,1.0,1.0,-0.37243206731354767,0.8178171688766683
2026-02-09,2025-08-31,0,762,151,88,86,36,601,44,16,16,0,0,0,0,0,0,30,1.0,1.0,-0.37223825671094424,0.7593589154872011
2026-02-10,2025-08-31,0,762,127,94,88,37,602,47,16,16,0,0,0,0,0,0,30,1.0,1.0,-0.38510193955508104,0.7980637729142279
2026-02-11,2025-08-31,0,762,109,88,82,39,601,47,16,15,0,0,0,0,0,0,30,1.0,1.0,-0.43951635810773537,0.8106327593623313
2026-02-12,2025-08-31,0,762,160,80,80,41,602,43,16,16,1,0,0,0,0,1,30,1.0,1.0,-0.4114950097845981,0.8279039631010495
2026-02-13,2025-08-31,0,762,131,80,77,39,602,47,16,15,3,2,0,0,0,1,30,1.0,1.0,-0.4061908108606242,0.6526099782617499
2026-02-17,2025-08-31,0,762,113,82,79,38,602,42,16,16,1,1,0,0,0,0,30,1.0,1.0,-0.4286967950827588,0.5941878777680176
2026-02-18,2025-08-31,0,762,97,83,74,38,600,42,16,16,0,0,0,0,0,0,30,1.0,1.0,-0.45828788490423855,0.652338119919912
2026-02-19,2025-08-31,0,762,73,63,51,36,599,44,16,16,0,0,0,0,1,0,29,0.9666666666666667,1.0,-0.5366721099562821,0.5523723749878955
2026-02-20,2025-08-31,0,762,77,73,61,39,599,47,16,16,0,0,0,0,0,0,29,0.9666666666666667,1.0,-0.5858784170316496,0.5699955236088525
2026-02-23,2025-08-31,0,762,92,71,66,36,599,41,16,16,1,0,0,0,0,0,30,1.0,1.0,-0.4570841402368276,0.4968114944308981
2026-02-24,2025-08-31,0,762,107,79,73,36,597,41,16,16,1,1,0,0,0,0,30,1.0,1.0,-0.46929842475369943,0.6146381562329342
2026-02-25,2025-08-31,0,762,109,84,80,37,598,43,16,16,0,0,0,0,0,0,30,1.0,1.0,-0.4853607817750871,0.5424552280137364
2026-02-26,2025-08-31,0,762,100,77,73,38,598,46,16,16,0,0,0,0,0,0,30,1.0,1.0,-0.4905358969239696,0.5771593070597882
2026-02-27,2025-08-31,0,762,95,70,66,37,597,49,16,16,0,0,0,0,0,1,29,0.9666666666666667,1.0,-0.5158705722043753,0.589948016856975
2026-03-02,2025-08-31,0,762,459,738,451,12,597,17,16,11,1,0,0,0,0,0,30,1.0,1.0,0.18866447396465957,0.6431845649610347
2026-03-03,2025-08-31,0,762,579,733,569,16,597,24,16,12,1,1,0,0,0,0,30,0.5,0.5,0.24406499668908738,0.8106106622304545
2026-03-04,2025-08-31,0,762,167,735,167,17,599,28,16,11,3,2,0,0,0,1,30,1.0,1.0,0.12180861088273945,0.7894308450439754
2026-03-05,2025-08-31,0,762,346,739,346,15,598,24,16,9,3,2,0,0,0,1,30,0.4957910361278099,0.5,0.20941716232722032,0.7676948139589377
2026-03-06,2025-08-31,0,762,605,715,581,11,597,18,16,8,3,2,0,0,0,1,30,0.4958511054259403,0.5,0.24725538517453205,0.6941988977457937
2026-03-09,2025-08-31,0,762,306,717,304,13,599,29,16,7,3,1,0,0,0,2,30,0.5,0.5,0.12535576910924595,0.5513052529597067
2026-03-10,2025-08-31,0,762,258,744,258,15,599,16,16,9,2,2,0,0,0,0,30,0.5,0.5,0.16476465255838127,0.728127452120978
2026-03-11,2025-08-31,0,762,270,339,221,19,599,37,16,10,2,0,0,0,3,2,28,0.4666666666666667,0.5,-0.03992522011153773,0.5323938224167306
2026-03-12,2025-08-31,0,762,457,483,397,18,598,34,16,13,3,0,0,0,1,0,30,0.5,0.5,0.07089262455744218,0.5776730434616667
2026-03-13,2025-08-31,0,762,405,484,358,15,599,23,16,7,2,1,0,0,1,0,30,0.4996367164356144,0.5,0.047870844506040025,0.4802847399621635
2026-03-16,2025-08-31,0,762,489,439,390,24,600,37,16,12,3,3,0,0,0,0,30,0.49991828981627107,0.5,0.05611290563122326,0.49086691357714207
2026-03-17,2025-08-31,0,762,404,464,357,25,600,35,16,10,3,0,0,0,3,0,30,0.4979688870192882,0.5,0.04349096060923388,0.5034293501257284
2026-03-18,2025-08-31,0,762,445,486,393,18,600,27,16,10,1,1,0,0,0,0,30,0.5,0.5,0.055858674815223164,0.52743910751513
2026-03-19,2025-08-31,0,762,485,481,419,19,600,29,16,8,1,1,0,0,0,0,30,0.5,0.5,0.06278538985195878,0.5053315799413136
2026-03-20,2025-08-31,0,762,729,749,719,22,601,23,16,13,2,2,0,0,0,0,30,0.25,0.25,0.2769601293678997,0.9164708168618205
2026-03-23,2025-08-31,0,762,581,600,530,20,601,33,16,12,1,1,0,0,0,0,30,0.25,0.25,0.11580254891642561,0.5957249035522509
2026-03-24,2025-08-31,0,762,620,549,509,18,601,31,16,11,1,1,0,0,0,0,30,0.25,0.25,0.11637216795008912,0.6349305287769266
2026-03-25,2025-08-31,0,762,414,467,365,18,601,35,16,11,0,0,0,0,0,0,30,0.25,0.25,0.03283728573847683,0.5066071549683491
2026-03-26,2025-08-31,0,761,747,756,745,23,600,15,16,9,2,2,0,0,0,0,30,0.25,0.25,0.3997753675599298,0.9893615482470808
2026-03-27,2025-08-31,0,761,736,756,735,19,600,17,16,10,1,1,0,0,0,0,30,0.24977575238822766,0.25,0.33629081091362556,0.9852633609963968
2026-03-30,2025-08-31,0,760,630,751,630,28,600,26,16,12,2,0,0,0,0,2,30,0.24735105590165182,0.25,0.2678027382598347,0.9516397731336652
2026-03-31,2025-08-31,0,761,521,312,265,11,600,14,16,3,0,0,0,0,0,1,29,0.23900290996876597,0.25,0.011018123826220548,0.5361202800030309
2026-04-01,2025-08-31,0,761,415,245,202,25,602,28,16,7,1,0,0,0,11,0,19,0.15377375627301795,0.25,-0.034457266356302786,0.5229712670518252
2026-04-02,2025-08-31,0,761,488,299,273,35,602,41,16,5,0,0,0,0,1,0,18,0.14559678179527938,0.25,0.014109714226397379,0.6075413238980027
2026-04-06,2025-08-31,0,761,449,271,257,29,602,41,16,9,2,0,0,0,0,0,20,0.15966387011979138,0.25,-0.016801609301161063,0.5136342555499253
2026-04-07,2025-08-31,0,761,438,301,275,31,601,40,16,4,0,0,0,0,0,0,20,0.1602397856761858,0.25,-0.00922211825064062,0.5008958564467385
2026-04-08,2025-08-31,0,761,433,201,188,28,601,32,16,8,2,0,0,0,1,0,21,0.334473832357368,0.5,-0.05189169757067191,0.4672134544775675
2026-04-09,2025-08-31,0,762,364,207,171,28,599,36,16,6,0,0,0,0,0,0,21,0.3341980038924453,0.5,-0.06208337027168615,0.4770997979635184
2026-04-10,2025-08-31,0,762,252,197,131,25,599,31,16,8,0,0,0,0,0,0,21,0.3329752526848026,0.5,-0.0968963260777218,0.4147095867653223
2026-04-13,2025-08-31,0,762,213,152,108,27,600,36,16,7,1,0,0,0,1,0,21,0.3280806816401723,0.5,-0.11789016772487626,0.33011438953764954
2026-04-14,2025-08-31,0,758,281,213,161,26,598,28,16,3,0,0,0,0,2,0,19,0.29552371047340914,0.5,-0.08900791752525895,0.5892457588760889
2026-04-15,2025-08-31,0,762,146,206,101,30,597,29,16,2,0,0,0,0,4,0,15,0.2316007937604003,0.5,-0.12244813164735796,0.6075631056287198
2026-04-16,2025-08-31,0,762,145,170,90,24,598,26,16,3,0,0,0,0,2,0,13,0.39724652407592537,1.0,-0.13188174505661993,0.5679988299780794
2026-04-17,2025-08-31,0,762,237,133,85,19,598,27,16,4,0,0,0,0,0,0,13,0.39614816773419625,1.0,-0.12568414444416037,0.6550875209470726
2026-04-20,2025-08-31,0,762,372,192,145,23,598,33,16,2,0,0,0,0,0,0,13,0.39964335446904103,1.0,-0.06793264910755847,0.57444242232995
2026-04-21,2025-08-31,0,762,486,223,190,22,598,37,16,4,0,0,0,0,0,0,13,0.4001904691769803,1.0,-0.006626898566894584,0.669103730432461
2026-04-22,2025-08-31,0,762,340,213,148,22,598,33,16,3,0,0,0,0,0,0,13,0.40076698098466634,1.0,-0.05503619452793465,0.5165146942639207
2026-04-23,2025-08-31,0,762,416,253,204,21,596,41,16,4,1,0,0,0,0,0,14,0.42091929140215334,1.0,-0.02767762724246367,0.5139349152520654
2026-04-24,2025-08-31,0,762,322,227,168,26,593,34,16,1,0,0,0,0,1,0,13,0.39209098856204877,1.0,-0.07347785772291147,0.6318429665028802
2026-04-27,2025-08-31,0,762,279,189,135,20,592,35,16,2,1,0,0,0,1,0,13,0.3831315835670733,1.0,-0.07773559456717584,0.5808236430790388
2026-04-28,2025-08-31,0,762,357,200,172,29,593,30,16,1,0,0,0,0,0,0,13,0.3830587540565686,1.0,-0.06173540193729488,0.6530141558160368
2026-04-29,2025-08-31,0,762,180,272,128,29,593,26,16,1,0,0,0,0,2,1,10,0.2881561528968133,1.0,-0.07575060940714394,0.6536010384150693
2026-04-30,2025-08-31,0,762,278,146,103,26,592,27,16,1,0,0,0,0,2,0,8,0.22108646034548468,1.0,-0.0999783880417826,0.45212488700242526
2026-05-01,2025-08-31,0,762,407,210,173,26,591,27,16,1,0,0,0,0,0,0,8,0.22392209836255572,1.0,-0.03857550077445749,0.6186322629813951
2026-05-04,2025-08-31,0,762,451,271,252,29,592,37,16,2,1,0,0,0,0,0,9,0.25451460555080113,1.0,-0.02063177598496368,0.5040458077152916
2026-05-05,2025-08-31,0,762,441,288,224,27,591,29,16,0,0,0,0,0,0,1,8,0.22173610342905625,1.0,-0.009582049869403692,0.5987496797176577
2026-05-06,2025-08-31,0,761,417,197,142,17,591,21,16,0,0,0,0,0,0,0,8,0.21635049258439157,1.0,-0.04566246528200432,0.6120043842905838
2026-05-07,2025-08-31,0,761,251,286,160,22,592,21,16,0,0,0,0,0,0,0,8,0.214449698599318,1.0,-0.06746975801204037,0.6173516568984608
2026-05-08,2025-08-31,0,761,237,358,184,22,590,21,16,0,0,0,0,0,1,0,7,0.19146434975944696,1.0,-0.04062050602744293,0.5259172233813377
2026-05-11,2025-08-31,0,761,135,270,96,18,588,23,16,0,0,0,0,0,2,0,5,0.12819380219730753,1.0,-0.0974130421118976,0.4827401202689961
