Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,held_tickers
2026-07-17,613.8336730297012,0.029403830027108304,0.029403830027108304,0.0,0,14,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,SNOW,UUUU"
2026-07-20,637.1482295851507,0.03798187942407226,0.03808187942407226,0.0001,2,12,"CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,UUUU"
2026-07-21,609.7926285476249,-0.04293443780788205,-0.04288443780788205,5e-05,1,13,"ACHR,CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,UUUU"
2026-07-22,609.2642660685002,-0.0008664625552840125,-0.0008164625552840125,5e-05,1,12,"ACHR,CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,UUUU"
2026-07-23,587.7298564129918,-0.03534494119352674,-0.03534494119352674,0.0,0,12,"ACHR,CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,UUUU"
2026-07-24,571.627439836868,-0.027397649447995265,-0.027297649447995266,0.0001,2,10,"CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QUBT,RCAT,RDW,UUUU"
2026-07-27,572.7339347976432,0.0019356925221976626,0.0019856925221976626,5e-05,1,11,"CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,UUUU"
2026-07-28,554.9209580275867,-0.031101661151525985,-0.031101661151525985,0.0,0,11,"CRML,FLNC,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,UUUU"
2026-07-29,605.6392412270067,0.09139731067230411,0.09164731067230411,0.00025,5,10,"CRML,FLNC,LUNR,NVTS,OKLO,OSCR,QUBT,RCAT,RDW,UUUU"
2026-07-30,575.620960343703,-0.04956462335975372,-0.049414623359753725,0.00015000000000000001,3,11,"CRML,FLNC,LUNR,NVTS,OKLO,OSCR,QS,QUBT,RCAT,RDW,UUUU"
2026-07-31,647.8506978095875,0.1254814234400988,0.1254814234400988,0.0,0,11,"CRML,FLNC,LUNR,NVTS,OKLO,OSCR,QS,QUBT,RCAT,RDW,UUUU"
2026-08-03,659.5364434709713,0.0180377140919873,0.0182377140919873,0.0002,4,11,"CRML,FLNC,JOBY,LUNR,NVTS,ONDS,OSCR,QS,RCAT,RDW,UUUU"
2026-08-04,639.4152000954826,-0.03050816004889085,-0.030458160048890848,5e-05,1,10,"CRML,FLNC,JOBY,LUNR,NVTS,ONDS,OSCR,QS,RCAT,RDW"
2026-08-05,667.9953485673279,0.04469732416054161,0.04474732416054161,5e-05,1,11,"CRML,FLNC,JOBY,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW"
2026-08-06,708.6567428464241,0.060870774573960625,0.060920774573960626,5e-05,1,10,"CRML,FLNC,JOBY,LUNR,NVTS,ONDS,QS,QUBT,RCAT,RDW"
2026-08-07,700.6310711313567,-0.011325189234538402,-0.011225189234538403,0.0001,2,10,"ACHR,CRML,FLNC,JOBY,NVTS,ONDS,QS,QUBT,RCAT,RDW"
2026-08-10,727.2322897472809,0.037967512021654014,0.038017512021654015,5e-05,1,11,"ACHR,CRML,FLNC,JOBY,MARA,NVTS,ONDS,QS,QUBT,RCAT,RDW"
2026-08-11,684.0395226536366,-0.059393357119297024,-0.059393357119297024,0.0,0,11,"ACHR,CRML,FLNC,JOBY,MARA,NVTS,ONDS,QS,QUBT,RCAT,RDW"
2026-08-12,701.8999880554834,0.02611028282775182,0.02621028282775182,0.0001,2,11,"ACHR,CRML,FLNC,JOBY,MARA,MNST,NVTS,ONDS,QS,QUBT,RCAT"
2026-08-13,696.5944200347956,-0.00755886609342472,-0.00755886609342472,0.0,0,11,"ACHR,CRML,FLNC,JOBY,MARA,MNST,NVTS,ONDS,QS,QUBT,RCAT"
2026-08-14,663.7828538514901,-0.04710282660843954,-0.04710282660843954,0.0,0,11,"ACHR,CRML,FLNC,JOBY,MARA,MNST,NVTS,ONDS,QS,QUBT,RCAT"
2026-08-17,666.0177534732467,0.003366913756191442,0.003416913756191442,5e-05,1,10,"ACHR,CRML,FLNC,JOBY,MARA,MNST,ONDS,QS,QUBT,RCAT"
2026-08-18,670.6344263751056,0.006931756515172726,0.007031756515172727,0.0001,2,10,"ACHR,CRML,FLNC,JOBY,MARA,MNST,ONDS,QS,QUBT,RDW"
2026-08-19,669.09736756969,-0.002291947363519156,-0.002241947363519156,5e-05,1,11,"ACHR,CRML,FLNC,JOBY,MARA,MNST,ONDS,QS,QUBT,RCAT,RDW"
2026-08-20,678.8001001000026,0.014501226578659316,0.014551226578659315,5e-05,1,10,"ACHR,CRML,FLNC,JOBY,MNST,ONDS,QS,QUBT,RCAT,RDW"
2026-08-21,673.4171861867577,-0.00793004289842012,-0.00793004289842012,0.0,0,10,"ACHR,CRML,FLNC,JOBY,MNST,ONDS,QS,QUBT,RCAT,RDW"
2026-08-24,677.702975167169,0.006364240575266123,0.006414240575266123,5e-05,1,11,"ACHR,CRML,FLNC,JOBY,LUMN,MNST,ONDS,QS,QUBT,RCAT,RDW"
2026-08-25,685.0933144621954,0.010904982810800495,0.010904982810800495,0.0,0,11,"ACHR,CRML,FLNC,JOBY,LUMN,MNST,ONDS,QS,QUBT,RCAT,RDW"
2026-08-26,682.2673685901555,-0.00412490650891606,-0.00412490650891606,0.0,0,11,"ACHR,CRML,FLNC,JOBY,LUMN,MNST,ONDS,QS,QUBT,RCAT,RDW"
2026-08-27,649.5133064429807,-0.04800766335177091,-0.04800766335177091,0.0,0,11,"ACHR,CRML,FLNC,JOBY,LUMN,MNST,ONDS,QS,QUBT,RCAT,RDW"
